model,n_params,n_obs,log_likelihood,AIC,BIC,test_log_likelihood,test_nll_per_obs,seconds,final_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_positive,test_auc
rasch,212801,2028033,-763054.1875,1951710.3750,4616527.2652,-114773.4766,0.518935,330.62,0.376254,0.803116,0.782391,0.803116,0.849548,0.843629
twopl,425587,2028033,-644788.7500,2140751.5000,7470197.4418,-160112.3438,0.723930,64.87,0.318106,0.815202,0.795263,0.815202,0.859155,0.847349
threepl,638373,2028033,-614077.7500,2504901.5000,10498976.4934,-190347.9844,0.860637,265.91,0.302865,0.806887,0.789279,0.806887,0.850192,0.837888
fm1,425587,2028033,-558256.2500,1967686.5000,7297132.4418,-182302.9375,0.824262,250.18,0.275270,0.797415,0.776133,0.797415,0.845157,0.839492
fm2,638388,2028033,-342698.0938,1962172.1875,9956435.0196,-249148.0312,1.126495,404.44,0.168989,0.798545,0.780978,0.798545,0.843007,0.854727
fm3,851189,2028033,-165259.8594,2032897.7188,12691977.4411,-340469.1250,1.539393,417.71,0.081495,0.807552,0.791223,0.807552,0.849610,0.849578
bifactor,638433,2028033,-235294.6406,1747455.2812,9742281.6293,-235251.7031,1.063664,431.55,0.116027,0.839626,0.825721,0.839626,0.874949,0.880459
constant,1,2028033,-1318725.5068,2637453.0135,2637465.5361,-144200.2935,0.651986,0.00,0.650249,0.642498,0.391171,0.642498,0.782343,0.500000
test_taker_mean,15,2028033,-1292853.6205,2585737.2410,2585925.0797,-141419.9737,0.639415,0.00,0.637491,0.642498,0.391171,0.642498,0.782343,0.591069
pathology_mean,14,2028033,-1261768.8516,2523565.7032,2523741.0193,-137917.9398,0.623581,0.00,0.622164,0.648354,0.478795,0.648354,0.776074,0.637191
test_taker_x_pathology,210,2028033,-1184043.1331,2368506.2663,2371136.0075,-129544.9343,0.585723,0.00,0.583838,0.684868,0.616470,0.684868,0.778435,0.712291
item_mean_smoothed,208654,2028033,-849709.1984,2116726.3969,4729612.1607,-106797.6626,0.482874,0.00,0.418982,0.785148,0.760784,0.785148,0.837127,0.827585
