item_idx,image_path,pathology,intercept_Z,loading_V_0
0,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Cardiomegaly,-2.207039,-4.341143
1,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Lung Opacity,-10.680912,2.501133
2,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Edema,3.757551,3.088409
3,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Atelectasis,12.687574,-3.175147
4,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Pleural Effusion,2.136101,4.194310
5,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Support Devices,-11.103045,2.651817
6,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Cardiomegaly,0.071502,0.640792
7,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Lung Opacity,2.582134,2.321914
8,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Edema,2.221465,2.021179
9,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Atelectasis,0.809189,2.799513
10,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Pleural Effusion,1.613497,2.057083
11,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Support Devices,-0.865669,-2.340632
12,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Cardiomegaly,2.241883,4.253022
13,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Lung Opacity,-10.236814,2.397270
14,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Edema,-2.041729,-4.902200
15,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Atelectasis,10.665916,-2.490832
16,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Pleural Effusion,13.044492,-3.225941
17,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Support Devices,0.906787,4.739994
18,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Cardiomegaly,1.652928,4.798712
19,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Lung Opacity,3.866304,3.641757
20,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Edema,2.943737,3.495909
21,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Atelectasis,1.721996,1.995223
22,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Pleural Effusion,1.256513,4.446362
23,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Support Devices,-10.163787,2.381749
24,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Cardiomegaly,2.754685,3.417979
25,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Lung Opacity,-11.119287,2.601686
26,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Edema,2.541102,4.717592
27,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Atelectasis,1.336883,4.899714
28,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Pleural Effusion,-14.361774,3.987555
29,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Support Devices,-12.684320,3.202094
30,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Cardiomegaly,1.287784,3.645894
31,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Lung Opacity,2.272745,1.820421
32,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Edema,2.331573,1.802711
33,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Atelectasis,1.496846,2.804171
34,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Pleural Effusion,-2.200535,-1.689291
35,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Support Devices,-3.834210,-1.331432
36,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Cardiomegaly,2.479653,1.556230
37,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Lung Opacity,0.291825,2.567233
38,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Edema,0.982422,-0.473120
39,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Atelectasis,1.377921,2.403081
40,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Pleural Effusion,3.309979,1.345438
41,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Support Devices,0.881622,2.191234
42,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Cardiomegaly,1.680774,1.976567
43,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Lung Opacity,-1.783532,-2.448380
44,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Edema,3.418557,1.456051
45,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Atelectasis,1.492866,2.970825
46,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Pleural Effusion,2.370097,1.979474
47,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Support Devices,-0.527235,0.805754
48,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Cardiomegaly,-14.068531,3.784263
49,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Lung Opacity,-12.833890,3.136317
50,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Edema,3.655245,1.503793
51,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Atelectasis,-11.249536,2.693583
52,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Pleural Effusion,-11.642653,2.781400
53,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Support Devices,-12.931078,3.257550
54,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Cardiomegaly,1.627994,1.039462
55,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Lung Opacity,3.685365,2.158070
56,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Edema,-0.140538,-0.246001
57,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Atelectasis,0.733856,4.169050
58,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Pleural Effusion,3.332929,1.302325
