item_idx,image_path,pathology,difficulty,discrimination
0,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Cardiomegaly,3.407910,2.514228
1,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Lung Opacity,1.079981,36.317631
2,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Edema,-1.292072,6.033359
3,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Atelectasis,1.103864,0.185103
4,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Pleural Effusion,-1.353688,4.090122
5,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Support Devices,1.057820,36.296379
6,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Cardiomegaly,0.640792,1.074120
7,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Lung Opacity,-0.726736,5.958469
8,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Edema,-1.357062,3.888434
9,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Atelectasis,-1.436648,3.272949
10,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Pleural Effusion,-1.927780,2.753763
11,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Support Devices,2.585867,3.452294
12,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Cardiomegaly,-1.290799,4.150891
13,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Lung Opacity,1.059798,26.487467
14,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Edema,1.974911,0.192644
15,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Atelectasis,0.300129,0.086785
16,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Pleural Effusion,0.992198,0.166478
17,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Support Devices,-2.406434,2.709754
18,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Cardiomegaly,-1.580958,3.439508
19,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Lung Opacity,-0.832931,4.681704
20,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Edema,-1.404744,4.523059
21,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Atelectasis,-1.959093,2.757486
22,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Pleural Effusion,-1.938445,3.099218
