item_idx,image_path,pathology,difficulty
0,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,6.591500
1,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Consolidation,-4.782861
2,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Pneumonia,-5.149273
3,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-4.770362
4,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Consolidation,-4.627135
5,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Pneumonia,0.112411
6,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,7.241764
7,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Consolidation,1.590350
8,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Pneumonia,1.590243
9,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-4.311387
10,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Consolidation,-5.003729
11,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Pneumonia,-4.919636
12,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,7.170955
13,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Consolidation,-3.661369
14,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Pneumonia,-5.896044
15,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.586689
16,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Consolidation,-0.673090
17,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Pneumonia,-4.316676
18,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-4.193281
19,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Consolidation,-4.823884
20,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Pneumonia,-0.230335
21,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Enlarged Cardiomediastinum,-5.262453
22,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Consolidation,-4.550926
23,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Pneumonia,-5.265080
24,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,1.590123
25,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Consolidation,7.305305
26,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Pneumonia,7.827052
27,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,9.015492
28,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Consolidation,-6.094535
29,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Pneumonia,-5.891299
30,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-3.737278
31,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Consolidation,-5.385392
32,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Pneumonia,-5.398966
33,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-4.284335
34,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Consolidation,-4.156802
