item_idx,image_path,pathology,difficulty,discrimination,guessing
0,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,4.076764,3.453362,0.001050
1,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Consolidation,-1.197994,5.871676,0.270816
2,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Pneumonia,-1.688815,4.565424,0.263434
3,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-0.749835,8.193908,0.146236
4,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Consolidation,-1.522869,4.292698,0.401034
5,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Pneumonia,0.112411,0.499753,0.119203
6,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,3.113332,4.808524,0.001050
7,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Consolidation,2.854788,0.102055,0.096054
8,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Pneumonia,2.282789,0.256223,0.160941
9,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-2.325558,3.337576,0.666219
10,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Consolidation,-1.296846,5.824932,0.236017
11,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Pneumonia,-1.565040,4.350453,0.317230
12,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,2.668340,5.947746,0.001050
13,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Consolidation,-1.838221,2.877004,0.797372
14,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Pneumonia,-1.569359,7.714780,0.119431
15,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.586689,1.361891,0.119203
16,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Consolidation,-0.673090,3.928515,0.119203
17,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Pneumonia,-0.461757,8.949195,0.263397
18,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.422329,4.538675,0.519577
19,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Consolidation,-2.070032,3.429550,0.459032
20,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Pneumonia,-0.230335,2.447094,0.119203
21,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Enlarged Cardiomediastinum,-1.340888,5.845857,0.143136
22,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Consolidation,-0.423678,10.930281,0.137963
23,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Pneumonia,-2.610514,2.873158,0.448316
24,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,0.771507,646.419983,0.001559
25,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Consolidation,3.344007,4.340305,0.001050
26,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Pneumonia,2.990846,5.200838,0.001050
27,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,4.624225,2.988203,0.001149
28,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Consolidation,-3.811039,2.109436,0.462269
29,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Pneumonia,-2.285151,3.855969,0.165704
30,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-0.624572,5.858946,0.858764
31,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Consolidation,-2.577192,2.924222,0.405829
32,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Pneumonia,-1.114416,7.017027,0.121800
33,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-0.772302,6.598373,0.353235
34,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Consolidation,-0.666054,7.181860,0.376768
35,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Pneumonia,-0.773500,6.722072,0.440526
36,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-3.548681,2.343646,0.417204
37,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Consolidation,-1.064352,1.157490,0.978727
38,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Pneumonia,1.570145,0.013825,0.012102
39,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,2.201630,6.043446,0.001149
40,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Consolidation,-2.516863,3.719309,0.144972
41,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Pneumonia,-1.277352,6.316558,0.126478
42,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.266026,6.482634,0.202845
43,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Consolidation,-1.319952,6.170837,0.207398
44,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Pneumonia,-2.861438,2.844666,0.365587
45,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,0.768524,695.478760,0.001237
46,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Consolidation,-1.779937,4.178898,0.339662
47,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Pneumonia,0.805754,1.938480,0.119203
48,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.833990,3.841901,0.344808
49,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Consolidation,-1.220784,4.976017,0.393692
50,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Pneumonia,-2.565430,3.015687,0.336227
51,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-2.751156,2.887972,0.556048
52,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Consolidation,-1.178906,5.261146,0.471576
53,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Pneumonia,-2.065344,3.569058,0.323877
54,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-0.632815,7.369828,0.352533
55,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Consolidation,-0.688023,8.404964,0.156465
56,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Pneumonia,-1.545838,4.732383,0.226097
57,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-0.294602,0.237266,0.992049
58,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Consolidation,-2.840401,3.303947,0.205883
59,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Pneumonia,-1.795479,4.129302,0.359273
60,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-2.288175,3.609130,0.267381
61,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Consolidation,-1.870482,4.537916,0.213641
62,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Pneumonia,-1.423045,5.014170,0.308170
63,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-0.681978,7.353835,0.273748
64,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Consolidation,-0.489246,7.379588,0.690449
65,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,Pneumonia,-2.342710,3.850700,0.155220
66,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-0.934687,6.466486,0.228432
67,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Consolidation,-1.253915,4.924210,0.361494
68,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,Pneumonia,-4.530613,1.862870,0.382223
69,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-3.083884,2.782170,0.248209
70,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Consolidation,-1.429359,5.150757,0.197319
71,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Pneumonia,-1.161579,5.433778,0.275487
72,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.212393,5.273267,0.279689
73,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Consolidation,-1.124910,5.984899,0.199590
74,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Pneumonia,-1.296521,4.895802,0.326149
75,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.804538,3.796492,0.464298
76,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Consolidation,-1.726264,3.919669,0.448225
77,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Pneumonia,-1.257974,6.537557,0.120649
78,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,2.647560,5.766383,0.001149
79,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Consolidation,3.269665,2.994138,0.001149
80,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Pneumonia,3.779173,3.411229,0.001149
81,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,0.760537,11.737334,0.006657
82,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Consolidation,-1.279057,5.616947,0.266835
83,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Pneumonia,-2.402596,3.058589,0.483726
84,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.085817,5.402297,0.458862
85,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Consolidation,-2.239403,3.430896,0.526075
86,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Pneumonia,-2.842177,2.841305,0.389359
87,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-2.772807,2.868044,0.548640
88,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Consolidation,-1.913644,4.095688,0.278042
89,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Pneumonia,-2.316298,3.210504,0.367464
90,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.290046,3.148122,0.918161
91,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Consolidation,-3.194628,2.587459,0.573462
92,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Pneumonia,-1.354623,5.190606,0.312193
93,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-0.716763,6.926920,0.399911
94,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Consolidation,-0.766490,6.627094,0.352811
95,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Pneumonia,-1.075171,5.052585,0.584213
96,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-0.883376,1.065626,0.119203
97,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Consolidation,-2.878952,2.777646,0.495614
98,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Pneumonia,-1.488665,6.112221,0.179447
99,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,3.756794,3.745728,0.001050
100,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Consolidation,-1.458179,4.766084,0.445427
101,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Pneumonia,-1.953644,3.733207,0.602734
102,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.102660,0.582984,0.991460
103,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Consolidation,1.028505,0.189021,0.024995
104,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Pneumonia,1.634734,0.076688,0.032543
105,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Enlarged Cardiomediastinum,-1.077087,6.114184,0.268477
106,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Consolidation,-0.888308,22.841301,0.120970
107,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Pneumonia,-2.115725,4.221177,0.200650
108,CheXpert-v1.0/train/patient64571/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-1.203116,5.969035,0.170472
109,CheXpert-v1.0/train/patient64571/study1/view1_frontal.jpg,Consolidation,-2.895265,2.705473,0.367266
110,CheXpert-v1.0/train/patient64571/study1/view1_frontal.jpg,Pneumonia,-1.379660,5.527906,0.163181
111,CheXpert-v1.0/train/patient64572/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,2.776886,5.476890,0.001050
112,CheXpert-v1.0/train/patient64572/study1/view1_frontal.jpg,Consolidation,-1.916475,3.943733,0.342438
113,CheXpert-v1.0/train/patient64572/study1/view1_frontal.jpg,Pneumonia,-1.176220,5.853227,0.283384
114,CheXpert-v1.0/train/patient64573/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,1.988744,0.008139,0.011539
115,CheXpert-v1.0/train/patient64573/study1/view1_frontal.jpg,Consolidation,-1.937481,3.708473,0.799012
116,CheXpert-v1.0/train/patient64573/study1/view1_frontal.jpg,Pneumonia,-1.031496,6.009382,0.278837
117,CheXpert-v1.0/train/patient64574/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,2.621969,5.951456,0.001050
118,CheXpert-v1.0/train/patient64574/study1/view1_frontal.jpg,Consolidation,-1.137720,6.566156,0.227752
119,CheXpert-v1.0/train/patient64574/study1/view1_frontal.jpg,Pneumonia,-2.207425,3.475681,0.423871
